language,backend,source_en,reference,hypothesis,elapsed_seconds,status
hi,indic_nllb,British pounds will generally be accepted anywhere in the islands and within Stanley credit cards and United States dollars are also often accepted.,ब्रिटिश पाउंड आमतौर पर द्वीपों और स्टेनली क्रेडिट कार्ड में कहीं भी स्वीकार किए जाएँगे और संयुक्त राज्य अमेरिका डॉलर भी अक्सर स्वीकार किए जाते हैं।,ब्रिटिश पाउंड आमतौर पर द्वीपों में कहीं भी स्वीकार किए जाते हैं और स्टेनली क्रेडिट कार्ड और अमेरिकी डॉलर भी अक्सर स्वीकार किए जाते हैं।,172.41863751411438,ok
hi,indic_nllb,"One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.","उनमें से एक जॉर्ज वाशिंगटन को 6 जुलाई को भेजा गया, जिसने कि इसको अपनी सेना के लिए न्यूयॉर्क में 9 जुलाई को पढ़ा। उसकी एक कॉपी 10 अगस्त को लंदन पहुंची।","एक को 6 जुलाई को जॉर्ज वाशिंगटन को भेजा गया था, जिन्होंने 9 जुलाई को न्यूयॉर्क में अपनी सेनाओं को यह पढ़ दिया था।",0.5050718784332275,ok
hi,indic_nllb,"Montevideo is in the subtropics; in the summer months, temperatures above +30°C are common.","मोंटेवीडियो सबट्रॉपिक्स में है; गर्मियों के महीनों में, + 30° C से अधिक तापमान रहना आम बात है.",मोंटेवीडियो उपमहाद्वीप में है; गर्मियों के महीनों में +30 डिग्री सेल्सियस से ऊपर का तापमान आम है।,0.5247619152069092,ok
hi,indic_nllb,He is speculated to make a run for president in 2016.,उन्होंने 2016 में राष्ट्रपति पद के लिए जीत हासिल करने का अनुमान लगाया है.,अनुमान है कि वह 2016 में राष्ट्रपति पद के लिए चुनाव लड़ेंगे।,0.3023817539215088,ok
hi,indic_nllb,"This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.","यह वह जगह है जहाँ ब्रिटिश उपनिवेशवादियों ने अपना बनाया और इसलिए अगर आप इस जगह के औपनिवेशिक अतीत के सबूतों को ढूँढ रहे हैं, तो यह एक अच्छी जगह है.","यह वह जगह है जहां ब्रिटिश उपनिवेशवादियों ने अपना अपना कब्जा कर लिया है और इसलिए यदि आप इस क्षेत्र के उपनिवेशवादी अतीत के सबूतों की तलाश कर रहे हैं, तो यह एक अच्छी शुरुआत करने के लिए एक अच्छी जगह है।",0.9131958484649658,ok
hi,indic_nllb,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","वे गुण जो किसी उप-संस्कृति को अलग बनाते हैं, जैसे कि भाषा, सौंदर्य, धर्म, राजनीति, यौन, भूगोल या कई सारे कारकों का मिश्रण हो सकते हैं.","ऐसी गुण जो किसी उपसंस्कृति को अलग-अलग बताते हैं, वे भाषाई, सौंदर्य, धार्मिक, राजनीतिक, यौन, भौगोलिक या अन्य कारकों का संयोजन हो सकते हैं।",0.6809842586517334,ok
hi,indic_nllb,"Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.","अरस्तू, एक दार्शनिक, ने सिद्ध किया कि सब कुछ एक या चार तत्वों के मिश्रण से बना है. वे पृथ्वी, जल, वायु और अग्नि थे.","अरस्तू ने कहा था कि पृथ्वी, पानी, हवा और आग में से एक या चार तत्वों से सब कुछ मिला है।",0.463381290435791,ok
hi,indic_nllb,The term bug is used by entomologists in a formal sense for this group of insects.,कीटविज्ञानियों द्वारा बग शब्द का उपयोग कीटों के इस समूह के लिए एक औपचारिक तौर पर किया जाता है।,कीड़े के इस समूह के लिए कीड़े शब्द का औपचारिक अर्थ में प्रयोग कीड़ाविदों द्वारा किया जाता है।,0.4279451370239258,ok
hi,indic_nllb,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,यह रिपोर्ट इराक के प्रति प्रशासन की वर्तमान नीति के लगभग सभी पहलुओं के प्रति बेहद आलोचनात्मक है और यह इसकी दिशा में तत्काल परिवर्तन का आग्रह करती है।,इस रिपोर्ट में इराक के प्रति कार्यकारी प्रशासन की वर्तमान नीति के लगभग हर पहलू की अत्यधिक आलोचना की गई है और इसमें तत्काल दिशा-निर्देश बदलने का आग्रह किया गया है।,0.6271548271179199,ok
hi,indic_nllb,Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.,जारी की गयी गति सीमाएं पहले की तुलना में काफी कम है -आमतौर पर यह 35-40 मील प्रति घंटा(56-60 किमी प्रति घंटा ) और उनके लिए सख्त नियम काफी जरूरी है,प्रकाशित गति सीमाएँ पहले और बाद के खंडों की तुलना में काफी कम हैं  आम तौर पर 35-40 मील प्रति घंटा (56-64 किमी/घंटा)  और उनके लिए सख्त आज्ञाकारी होना अन्य से भी अधिक महत्वपूर्ण है।,0.8900632858276367,ok
